id,last_name,first_name,personal_url,position,parent,institute,full_name,institute_class,alias,first_pub_year,total_pub,total_pub_1997,total_pub_2012
23d17ab4-123f-4929-9373-763bd7587df8,alay,ozgu,http://www.research.ed.ac.uk/portal/en/persons/ozgu-alay(23d17ab4-123f-4929-9373-763bd7587df8).html,visitor official visitor,school of informatics,UNKNOWN,alay ozgu,0,,,0,0,0
d089bb44-7d0b-4b3f-b556-27def993d1d1,albrecht,stefano,http://www.research.ed.ac.uk/portal/en/persons/stefano-albrecht(d089bb44-7d0b-4b3f-b556-27def993d1d1).html,lecturer in artificial intelligence,school of informatics,centre for intelligent systems and their applications,albrecht stefano,1,"albrecht, s. v.|albrecht, s.",2014.0,12,12,12
ecd799fb-4f63-44ae-a078-b009099f2c8c,alex,beatrice,http://www.research.ed.ac.uk/portal/en/persons/beatrice-alex(ecd799fb-4f63-44ae-a078-b009099f2c8c).html,research fellow,school of informatics,institute of language cognition and computation,alex beatrice,2,"alex, b.  (ed.)|alex, b.|symington, b.",2012.0,43,43,20
1997d4be-de27-44bd-ad89-36e6f386225d,alexandru,cristina,http://www.research.ed.ac.uk/portal/en/persons/cristina-alexandru(1997d4be-de27-44bd-ad89-36e6f386225d).html,research associate,school of informatics,centre for intelligent systems and their applications,alexandru cristina,1,"alexandru, c.|alexandru, c. a.|alexandru, c-a.",2011.0,9,9,7
ca066cb3-40b1-4721-a12e-edbdb031cf7c,anderson,paul,http://www.research.ed.ac.uk/portal/en/persons/paul-anderson(ca066cb3-40b1-4721-a12e-edbdb031cf7c).html,research fellow,school of informatics,centre for intelligent systems and their applications,anderson paul,1,"anderson, p.",2008.0,35,31,10
c3bee2e3-cad6-4ae1-9d94-d17f8bb39935,anderson,stuart,http://www.research.ed.ac.uk/portal/en/persons/stuart-anderson(c3bee2e3-cad6-4ae1-9d94-d17f8bb39935).html,personal chair in dependable systems,school of informatics,laboratory for foundations of computer science,anderson stuart,3,"anderson, s.|anderson, s.  (ed.)|anderson, s. o.",2011.0,70,57,14
e4fface3-9781-4bfa-9a40-9340f707cde3,arapinis,myrto,http://www.research.ed.ac.uk/portal/en/persons/myrto-arapinis(e4fface3-9781-4bfa-9a40-9340f707cde3).html,lecturer,school of informatics,laboratory for foundations of computer science,arapinis myrto,3,"arapinis, m.",2013.0,27,27,18
da3124d7-44f9-4199-82bf-9e964f422ab9,armstrong,douglas,http://www.research.ed.ac.uk/portal/en/persons/douglas-armstrong(da3124d7-44f9-4199-82bf-9e964f422ab9).html,personal chair in systems neurobiology,school of informatics,institute for adaptive and neural computation,armstrong douglas,4,"armstrong, d. g.|armstrong, d. j.|armstrong, d.|armstrong, j. d.",2005.0,111,107,43
dbb07214-3753-4bba-a630-e1857e7efb09,arvind,d k,http://www.research.ed.ac.uk/portal/en/persons/d-k-arvind(dbb07214-3753-4bba-a630-e1857e7efb09).html,chair of distributed wireless computation,school of informatics,institute for computing systems architecture,arvind d k,5,"arvind, d.|arvind, d. k.",2009.0,68,58,18
2db0a63a-084d-4b6e-ba29-416854572865,aspinall,david,http://www.research.ed.ac.uk/portal/en/persons/david-aspinall(2db0a63a-084d-4b6e-ba29-416854572865).html,personal chair in software safety and security,school of informatics,laboratory for foundations of computer science,aspinall david,3,"aspinall, d.|aspinall, d.  (ed.)",2014.0,82,79,36
8e51eafb-dd78-468b-8970-ec2349e92305,atkinson,malcolm,http://www.research.ed.ac.uk/portal/en/persons/malcolm-atkinson(8e51eafb-dd78-468b-8970-ec2349e92305).html,professor,school of informatics,centre for intelligent systems and their applications,atkinson malcolm,1,"	atkinson, m.|atkinson, m. p.|atkinson, m. p.  (ed.)|atkinson, m.|atkinson, m.  (ed.)",1985.0,128,121,56
