"stefano v. albrecht","jacob crandall"
"stefano v. albrecht","subramanian ramamoorthy"
"jacob crandall","subramanian ramamoorthy"
"myrto arapinis","loretta ilaria mancini"
"myrto arapinis","eike ritter"
"myrto arapinis","mark ryan"
"loretta ilaria mancini","eike ritter"
"loretta ilaria mancini","mark ryan"
"eike ritter","mark ryan"
"myrto arapinis","marie duflot"
"jonathan bamber","shuzo sakata"
"jonathan bamber","michael herrmann"
"shuzo sakata","michael herrmann"
"jonathan bamber","shuzo sakata"
"jonathan bamber","michael herrmann"
"shuzo sakata","michael herrmann"
"jonathan bamber","shuzo sakata"
"jonathan bamber","michael herrmann"
"shuzo sakata","michael herrmann"
"robert l. evans","roland w. partridge"
"robert l. evans","d. k. arvind"
"roland w. partridge","d. k. arvind"
"r.l. evans","d.k. arvind"
"ole weidner","malcolm atkinson"
"ole weidner","adam barker"
"malcolm atkinson","adam barker"
"g b drummond","a bates"
"g b drummond","j mann"
"g b drummond","d k arvind"
"a bates","j mann"
"a bates","d k arvind"
"j mann","d k arvind"
"gábor bella","fausto giunchiglia"
"gábor bella","fiona mcneill"
"fausto giunchiglia","fiona mcneill"
"j. mann","i.e. radoi"
"j. mann","d. arvind"
"i.e. radoi","d. arvind"
"vaishak belle","gerhard lakemeyer"
"vaishak belle","hector j. levesque"
"gerhard lakemeyer","hector j. levesque"
"d. k. arvind","andrew bates"
"vaishak belle","hector j. levesque"
"martin mladenov","vaishak belle"
"martin mladenov","kristian kersting"
"vaishak belle","kristian kersting"
"simon kramer","julian bradfield"
"jiajie wang","michael mendler"
"jiajie wang","partha s roop"
"jiajie wang","bruno bodin"
"michael mendler","partha s roop"
"michael mendler","bruno bodin"
"partha s roop","bruno bodin"
"maria nadejde","alexandra birch"
"maria nadejde","philipp koehn"
"alexandra birch","philipp koehn"
"rico sennrich","barry haddow"
"rico sennrich","alexandra birch"
"barry haddow","alexandra birch"
"rico sennrich","barry haddow"
"rico sennrich","alexandra birch"
"barry haddow","alexandra birch"
"alexandra birch","omri abend"
"alexandra birch","ondrej bojar"
"alexandra birch","barry haddow"
"omri abend","ondrej bojar"
"omri abend","barry haddow"
"ondrej bojar","barry haddow"
"a. csikász-nagy","l.~m. escudero"
"a. csikász-nagy","m. guillaud"
"a. csikász-nagy","s. sedwards"
"a. csikász-nagy","b. baum"
"a. csikász-nagy","m. cavaliere"
"l.~m. escudero","m. guillaud"
"l.~m. escudero","s. sedwards"
"l.~m. escudero","b. baum"
"l.~m. escudero","m. cavaliere"
"m. guillaud","s. sedwards"
"m. guillaud","b. baum"
"m. guillaud","m. cavaliere"
"s. sedwards","b. baum"
"s. sedwards","m. cavaliere"
"b. baum","m. cavaliere"
"wenfei fan","floris geerts"
"wenfei fan","yang cao"
"wenfei fan","ting deng"
"wenfei fan","ping lu"
"floris geerts","yang cao"
"floris geerts","ting deng"
"floris geerts","ping lu"
"yang cao","ting deng"
"yang cao","ping lu"
"ting deng","ping lu"
"yang cao","wenfei fan"
"yang cao","jinpeng huai"
"yang cao","ruizhe huang"
"wenfei fan","jinpeng huai"
"wenfei fan","ruizhe huang"
"jinpeng huai","ruizhe huang"
"yang cao","wenfei fan"
"cristina civili","riccardo rosati"
"yang cao","wenfei fan"
"yang cao","floris geerts"
"yang cao","ping lu"
"wenfei fan","floris geerts"
"wenfei fan","ping lu"
"floris geerts","ping lu"
"d. osumi-sutherland","m. costa"
"d. osumi-sutherland","r. court"
"d. osumi-sutherland","cahir j. o'kane"
"m. costa","r. court"
"m. costa","cahir j. o'kane"
"r. court","cahir j. o'kane"
"catherine crompton","maria wolters"
"catherine crompton","sarah e. macpherson"
"maria wolters","sarah e. macpherson"
"elliot crowley","andrew zisserman"
"catherine crompton","maria k. wolters"
"catherine crompton","sarah e. macpherson"
"maria k. wolters","sarah e. macpherson"
"elliot crowley","andrew zisserman"
"vincent danos","guillaume terradot"
"vincent danos","andrea weisse"
"guillaume terradot","andrea weisse"
"catherine crompton","maria k. wolters"
"catherine crompton","sarah e. macpherson"
