"tn bailey","l david"
"tn bailey","mg eastwood"
"tn bailey","ar gover"
"tn bailey","lj mason"
"mg eastwood","ar gover"
"mg eastwood","lj mason"
"ar gover","lj mason"
"t bailey","m eastwood"
"t bailey","s gindikin"
"m eastwood","s gindikin"
"amy wilson","colin aitken"
"amy wilson","richard sleeman"
"amy wilson","james carter"
"colin aitken","richard sleeman"
"colin aitken","james carter"
"richard sleeman","james carter"
"tn bailey","mg eastwood"
"t. antal","p. l. krapivsky"
"t. antal","a. rakos"
"p. l. krapivsky","a. rakos"
"shinichi yachida","sian jones"
"shinichi yachida","ivana bozic"
"shinichi yachida","tibor antal"
"shinichi yachida","rebecca leary"
"shinichi yachida","baojin fu"
"shinichi yachida","mihoko kamiyama"
"shinichi yachida","ralph h. hruban"
"shinichi yachida","james r. eshleman"
"shinichi yachida","martin a. nowak"
"shinichi yachida","victor e. velculescu"
"shinichi yachida","kenneth w. kinzler"
"shinichi yachida","bert vogelstein"
"shinichi yachida","christine a. iacobuzio-donahue"
"sian jones","ivana bozic"
"sian jones","tibor antal"
"sian jones","rebecca leary"
"sian jones","baojin fu"
"sian jones","mihoko kamiyama"
"sian jones","ralph h. hruban"
"sian jones","james r. eshleman"
"sian jones","martin a. nowak"
"sian jones","victor e. velculescu"
"sian jones","kenneth w. kinzler"
"sian jones","bert vogelstein"
"sian jones","christine a. iacobuzio-donahue"
"ivana bozic","tibor antal"
"ivana bozic","rebecca leary"
"ivana bozic","baojin fu"
"ivana bozic","mihoko kamiyama"
"ivana bozic","ralph h. hruban"
"ivana bozic","james r. eshleman"
"ivana bozic","martin a. nowak"
"ivana bozic","victor e. velculescu"
"ivana bozic","kenneth w. kinzler"
"ivana bozic","bert vogelstein"
"ivana bozic","christine a. iacobuzio-donahue"
"tibor antal","rebecca leary"
"tibor antal","baojin fu"
"tibor antal","mihoko kamiyama"
"tibor antal","ralph h. hruban"
"tibor antal","james r. eshleman"
"tibor antal","martin a. nowak"
"tibor antal","victor e. velculescu"
"tibor antal","kenneth w. kinzler"
"tibor antal","bert vogelstein"
"tibor antal","christine a. iacobuzio-donahue"
"rebecca leary","baojin fu"
"rebecca leary","mihoko kamiyama"
"rebecca leary","ralph h. hruban"
"rebecca leary","james r. eshleman"
"rebecca leary","martin a. nowak"
"rebecca leary","victor e. velculescu"
"rebecca leary","kenneth w. kinzler"
"rebecca leary","bert vogelstein"
"rebecca leary","christine a. iacobuzio-donahue"
"baojin fu","mihoko kamiyama"
"baojin fu","ralph h. hruban"
"baojin fu","james r. eshleman"
"baojin fu","martin a. nowak"
"baojin fu","victor e. velculescu"
"baojin fu","kenneth w. kinzler"
"baojin fu","bert vogelstein"
"baojin fu","christine a. iacobuzio-donahue"
"mihoko kamiyama","ralph h. hruban"
"mihoko kamiyama","james r. eshleman"
"mihoko kamiyama","martin a. nowak"
"mihoko kamiyama","victor e. velculescu"
"mihoko kamiyama","kenneth w. kinzler"
"mihoko kamiyama","bert vogelstein"
"mihoko kamiyama","christine a. iacobuzio-donahue"
"ralph h. hruban","james r. eshleman"
"ralph h. hruban","martin a. nowak"
"ralph h. hruban","victor e. velculescu"
"ralph h. hruban","kenneth w. kinzler"
"ralph h. hruban","bert vogelstein"
"ralph h. hruban","christine a. iacobuzio-donahue"
"james r. eshleman","martin a. nowak"
"james r. eshleman","victor e. velculescu"
"james r. eshleman","kenneth w. kinzler"
"james r. eshleman","bert vogelstein"
"james r. eshleman","christine a. iacobuzio-donahue"
"martin a. nowak","victor e. velculescu"
"martin a. nowak","kenneth w. kinzler"
"martin a. nowak","bert vogelstein"
"martin a. nowak","christine a. iacobuzio-donahue"
"victor e. velculescu","kenneth w. kinzler"
"victor e. velculescu","bert vogelstein"
"victor e. velculescu","christine a. iacobuzio-donahue"
"kenneth w. kinzler","bert vogelstein"
"kenneth w. kinzler","christine a. iacobuzio-donahue"
"bert vogelstein","christine a. iacobuzio-donahue"
"ivana bozic","tibor antal"
"ivana bozic","hisashi ohtsuki"
"ivana bozic","hannah carter"
"ivana bozic","dewey kim"
"ivana bozic","sining chen"
"ivana bozic","rachel karchin"
"ivana bozic","kenneth w. kinzler"
"ivana bozic","bert bogelstein"
"ivana bozic","martin a. nowak"
"tibor antal","hisashi ohtsuki"
"tibor antal","hannah carter"
"tibor antal","dewey kim"
"tibor antal","sining chen"
"tibor antal","rachel karchin"
"tibor antal","kenneth w. kinzler"
"tibor antal","bert bogelstein"
"tibor antal","martin a. nowak"
"hisashi ohtsuki","hannah carter"
"hisashi ohtsuki","dewey kim"
"hisashi ohtsuki","sining chen"
"hisashi ohtsuki","rachel karchin"
"hisashi ohtsuki","kenneth w. kinzler"
"hisashi ohtsuki","bert bogelstein"
"hisashi ohtsuki","martin a. nowak"
"hannah carter","dewey kim"
"hannah carter","sining chen"
"hannah carter","rachel karchin"
"hannah carter","kenneth w. kinzler"
"hannah carter","bert bogelstein"
"hannah carter","martin a. nowak"
"dewey kim","sining chen"
"dewey kim","rachel karchin"
"dewey kim","kenneth w. kinzler"
"dewey kim","bert bogelstein"
"dewey kim","martin a. nowak"
"sining chen","rachel karchin"
"sining chen","kenneth w. kinzler"
"sining chen","bert bogelstein"
"sining chen","martin a. nowak"
"rachel karchin","kenneth w. kinzler"
"rachel karchin","bert bogelstein"
"rachel karchin","martin a. nowak"
"kenneth w. kinzler","bert bogelstein"
"kenneth w. kinzler","martin a. nowak"
"bert bogelstein","martin a. nowak"
"tibor antal","p. l. krapivsky"
"peter keller","tibor antal"
"anna lisa varri","philip g. breen"
"anna lisa varri","douglas c. heggie"
"anna lisa varri","maria tiongco"
"anna lisa varri","enrico vesperini"
"philip g. breen","douglas c. heggie"
"philip g. breen","maria tiongco"
"philip g. breen","enrico vesperini"
"douglas c. heggie","maria tiongco"
"douglas c. heggie","enrico vesperini"
"maria tiongco","enrico vesperini"
"tibor antal","p. l. krapivsky"
"tibor antal","m. a. nowak"
"p. l. krapivsky","m. a. nowak"
"h. w. braden","v. z. enolski"
"h. w. braden","v. z. enolski"
"h. w. braden","viktor enolski"
"h. w. braden","viktor enolski"
"h. w. braden","t. p. northover"
"burak buke","hanyi chen"
"anthony carbery","vladimir mazya"
"anthony carbery","marius mitrea"
"anthony carbery","david rule"
"vladimir mazya","marius mitrea"
"vladimir mazya","david rule"
"marius mitrea","david rule"
"ivan cheltsov","jesus martinez-garcia"
"ivan cheltsov","konstantin shramov"
"ivan cheltsov","yanir a. rubinstein"
"ivan cheltsov","jihun park"
"ivan cheltsov","joonyeong wong"
"jihun park","joonyeong wong"
"ivan cheltsov","victor przyjalkowski"
"ivan cheltsov","konstantin shramov"
"victor przyjalkowski","konstantin shramov"
"jose figueroa-o'farrill","andrea santi"
"martin dindos","treven wall"
"jonathan r. gair","michael kramer"
"jonathan r. gair","and 34 others"
"michael kramer","and 34 others"
"the ligo scientific collaboration","the virgo collaboration"
"the ligo scientific collaboration","jonathan gair"
"the virgo collaboration","jonathan gair"
"the ligo scientific collaboration","the virgo collaboration"
"the ligo scientific collaboration","jonathan gair"
"the virgo collaboration","jonathan gair"
"kenneth mckinnon","andreas grothey"
"kenneth mckinnon","paul trodden"
"kenneth mckinnon","waqquas bukhsh"
"andreas grothey","paul trodden"
"andreas grothey","waqquas bukhsh"
"paul trodden","waqquas bukhsh"
"j. r. gair","and 937 others"
"j. r. gair","and 922 others"
"b.d. goddard","a. nold"
"b.d. goddard","n. savva"
"b.d. goddard","p. yatsyshin"
"b.d. goddard","s. kalliadasis"
"a. nold","n. savva"
"a. nold","p. yatsyshin"
"a. nold","s. kalliadasis"
"n. savva","p. yatsyshin"
"n. savva","s. kalliadasis"
"p. yatsyshin","s. kalliadasis"
"b.d. goddard","a. nold"
"b.d. goddard","s. kalliadasis"
"a. nold","s. kalliadasis"
"natalia iyudu","stanislav shkarin"
"martina balagovic","david jordan"
"natalia iyudu","stanislav shkarin"
"serena dipierro","aram karakhanyan"
"serena dipierro","enrico valdinoci"
"aram karakhanyan","enrico valdinoci"
"aram karakhanyan","h shahgholian"
"keith w. myerscough","jason frank"
"keith w. myerscough","benedict leimkuhler"
"jason frank","benedict leimkuhler"
"marina logares","johan martens"
"theo michelot","roland langrock"
"theo michelot","thomas kneib"
"theo michelot","ruth king"
"roland langrock","thomas kneib"
"roland langrock","ruth king"
"thomas kneib","ruth king"
"johan martens","michael thaddeus"
"johan martens","michael thaddeus"
"johan martens","michael thaddeus"
"m k henry","s c tongue"
"m k henry","j evans"
"m k henry","c webster"
"m k henry","i j mckendrick"
"m k henry","m morgan"
"m k henry","a willett"
"m k henry","a reeves"
"m k henry","r w humphry"
"m k henry","d l gally"
"m k henry","g j gunn"
"m k henry","m e chase-topping"
"s c tongue","j evans"
"s c tongue","c webster"
"s c tongue","i j mckendrick"
"s c tongue","m morgan"
"s c tongue","a willett"
"s c tongue","a reeves"
"s c tongue","r w humphry"
"s c tongue","d l gally"
"s c tongue","g j gunn"
"s c tongue","m e chase-topping"
"j evans","c webster"
"j evans","i j mckendrick"
"j evans","m morgan"
"j evans","a willett"
"j evans","a reeves"
"j evans","r w humphry"
"j evans","d l gally"
"j evans","g j gunn"
"j evans","m e chase-topping"
"c webster","i j mckendrick"
"c webster","m morgan"
"c webster","a willett"
"c webster","a reeves"
"c webster","r w humphry"
"c webster","d l gally"
"c webster","g j gunn"
"c webster","m e chase-topping"
"i j mckendrick","m morgan"
"i j mckendrick","a willett"
"i j mckendrick","a reeves"
"i j mckendrick","r w humphry"
"i j mckendrick","d l gally"
"i j mckendrick","g j gunn"
"i j mckendrick","m e chase-topping"
"m morgan","a willett"
"m morgan","a reeves"
"m morgan","r w humphry"
"m morgan","d l gally"
"m morgan","g j gunn"
"m morgan","m e chase-topping"
"a willett","a reeves"
"a willett","r w humphry"
"a willett","d l gally"
"a willett","g j gunn"
"a willett","m e chase-topping"
"a reeves","r w humphry"
"a reeves","d l gally"
"a reeves","g j gunn"
"a reeves","m e chase-topping"
"r w humphry","d l gally"
"r w humphry","g j gunn"
"r w humphry","m e chase-topping"
"d l gally","g j gunn"
"d l gally","m e chase-topping"
"g j gunn","m e chase-topping"
"julian mak","james maddison"
"julian mak","d. p. marshall"
"james maddison","d. p. marshall"
"talia tamarin","james maddison"
"talia tamarin","e. heifetz"
"talia tamarin","david p. marshall"
"james maddison","e. heifetz"
"james maddison","david p. marshall"
"e. heifetz","david p. marshall"
"s. d. bachmann","d. p. marshall"
"s. d. bachmann","james maddison"
"s. d. bachmann","julian mak"
"d. p. marshall","james maddison"
"d. p. marshall","julian mak"
"james maddison","julian mak"
"james roland maddison","p. e. farrell"
"james maddison","david p. marshall"
"james maddison","jemma shipton"
"david p. marshall","jemma shipton"
"martin stoll","john pearson"
"martin stoll","philip k. maini"
"john pearson","philip k. maini"
"sergey dolgov","john pearson"
"sergey dolgov","dmitry v. savostyanov"
"sergey dolgov","martin stoll"
"john pearson","dmitry v. savostyanov"
"john pearson","martin stoll"
"dmitry v. savostyanov","martin stoll"
"tadahiro oh","zihua guo"
"peter de maesschalck","nikola popovic"
"zheng qu","peter richtarik"
"olivier fercoq","peter richtarik"
"raffaele basile","ramon grima"
"raffaele basile","nikola popovic"
"ramon grima","nikola popovic"
"sergey foss","vsevolod shneer"
"sergey foss","jonathan thomas"
"sergey foss","timothy worrall"
"vsevolod shneer","jonathan thomas"
"vsevolod shneer","timothy worrall"
"jonathan thomas","timothy worrall"
"konstantinos dareiotis","chaman kumar"
"konstantinos dareiotis","sotirios sabanis"
"chaman kumar","sotirios sabanis"
"raj kumari bahl","sotirios sabanis"
"minho park","aretha teckentrup"
"hemant tyagi","anastasios kyrillidis"
"hemant tyagi","dimitris papailiopoulos"
"hemant tyagi","bernd gärtner"
"hemant tyagi","andreas krause"
"anastasios kyrillidis","dimitris papailiopoulos"
"anastasios kyrillidis","bernd gärtner"
"anastasios kyrillidis","andreas krause"
"dimitris papailiopoulos","bernd gärtner"
"dimitris papailiopoulos","andreas krause"
"bernd gärtner","andreas krause"
"samuel n. cohen","lukasz szpruch"
"andreas neuenkirch","lukasz szpruch"
"agata smoktunowicz","michal ziembowski"
"styliani kontogeorgaki","rubén j sánchez-garcía"
"styliani kontogeorgaki","rob m ewing"
"styliani kontogeorgaki","konstantinos c zygalakis"
"styliani kontogeorgaki","ben d macarthur"
"rubén j sánchez-garcía","rob m ewing"
"rubén j sánchez-garcía","konstantinos c zygalakis"
"rubén j sánchez-garcía","ben d macarthur"
"rob m ewing","konstantinos c zygalakis"
"rob m ewing","ben d macarthur"
"konstantinos c zygalakis","ben d macarthur"
"sonya j. ridden","hannah h. chang"
"sonya j. ridden","konstantinos c. zygalakis"
"sonya j. ridden","ben d. macarthur"
"hannah h. chang","konstantinos c. zygalakis"
"hannah h. chang","ben d. macarthur"
"konstantinos c. zygalakis","ben d. macarthur"
"onur teymur","kostas zygalakis"
"onur teymur","ben calderhead"
"kostas zygalakis","ben calderhead"
"j. heppell","s. payvandi"
"j. heppell","p. talboys"
"j. heppell","k. c. zygalakis"
"j. heppell","j. fliege"
"j. heppell","d. langton"
"j. heppell","r. sylvester-bradley"
"j. heppell","r. walker"
"j. heppell","d. l. jones"
"j. heppell","t. roose"
"s. payvandi","p. talboys"
"s. payvandi","k. c. zygalakis"
"s. payvandi","j. fliege"
"s. payvandi","d. langton"
"s. payvandi","r. sylvester-bradley"
"s. payvandi","r. walker"
"s. payvandi","d. l. jones"
"s. payvandi","t. roose"
"p. talboys","k. c. zygalakis"
"p. talboys","j. fliege"
"p. talboys","d. langton"
"p. talboys","r. sylvester-bradley"
"p. talboys","r. walker"
"p. talboys","d. l. jones"
